ID,source,qname,qname_main,main,q_code,q_text,order
15,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),3
15,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),2
15,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),1
15,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",3
15,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",2
15,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",1
15,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1
15,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,4
15,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
15,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,2
26,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
26,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),3
26,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
26,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),1
26,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",1
26,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",2
26,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1
26,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,2
26,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
22,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
22,email,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",2,Mobile phone,NA
22,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),4
22,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),3
22,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),2
22,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),1
22,email,T-3_7,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",7,Not sure,1
22,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,2
22,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
22,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,1
8,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
8,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),1
8,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
8,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),3
8,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),4
8,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",2
8,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",1
8,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",3
8,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1
8,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,4
8,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
8,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,2
24,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
24,email,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",2,Mobile phone,NA
24,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
24,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),1
24,email,T-3_7,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",7,Not sure,1
24,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",2
24,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,3
24,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,1
3,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
3,email,T-1_3,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",3,Tablet,NA
3,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),3
3,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
3,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),1
3,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),4
3,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",1
3,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",3
3,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",2
3,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1
3,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,2
3,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
3,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,4
29,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
29,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),3
29,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
29,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),1
29,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",1
29,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",2
29,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,1
29,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
29,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,2
30,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
30,email,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",2,Mobile phone,NA
30,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),4
30,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),3
30,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),2
30,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),1
30,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",3
30,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",1
30,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",2
30,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",4
30,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,1
30,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
30,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,2
36,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
36,email,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",2,Mobile phone,NA
36,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),3
36,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
36,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),4
36,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),1
36,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",3
36,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",2
36,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",1
36,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1
36,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
36,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,2
33,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
33,email,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",2,Mobile phone,NA
33,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),4
33,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),3
33,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),2
33,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),1
33,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",3
33,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",2
33,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",1
33,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",4
33,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,2
33,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,3
33,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,1
32,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
32,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),1
32,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
32,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),3
32,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",1
32,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",2
32,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",3
32,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1
32,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,3
32,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,4
32,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,2
12,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
12,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),4
12,email,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",2,Recent data (within the last year),2
12,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),1
12,email,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",4,Current conditions (today),3
12,email,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",5,"Non-aggregated data (meaning: ""raw"" data, no summaries)",1
12,email,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",6,"Aggregated data, summarized for time periods",3
12,email,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",9,"Aggregated data, summarized for locations",2
12,email,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",1,"Data downloads (for instance text or comma-delimited files, spreadsheets)",3
12,email,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",2,Tables online,4
12,email,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",3,Figures or plots,2
12,email,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",4,Maps,1
37,email,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",1,Computer,NA
37,email,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",2,Mobile phone,NA
37,email,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",1,Historical data (older than 1 year),2
37,email,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",3,Current data (within the last month),1
