code,question
QID24_2,"T-4_2 - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Tables online"
QID24_3,"T-4_3 - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Figures or plots"
QID24_4,"T-4_4 - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Maps"
QID24_5,"T-4_5 - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Not sure"
QID24_6,"T-4_6 - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Other (please specify)"
QID24_6_TEXT,"T-4_6_TEXT - What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best. - Other (please specify) - Text"
QID48,"TR-0 - Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"")."
QID33,TR-1 - How much do you trust the UF project team to build a dashboard that meets your needs?
QID34,TR-2 - To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?
QID35_6,"TR-3_1 - To date, please indicate your level of satisfaction with: - The level of communication of the project team"
QID35_11,"TR-3_2 - To date, please indicate your level of satisfaction with: - The transparency of the process"
QID35_7,"TR-3_3 - To date, please indicate your level of satisfaction with: - The opportunities to provide input and feedback to the project team"
QID35_8,"TR-3_4 - To date, please indicate your level of satisfaction with: - The level of service you have received from the project team (attentiveness, disposition, responsiveness, etc.)"
QID35_9,"TR-3_5 - To date, please indicate your level of satisfaction with: - The quality of project outputs so far (such collaborative meeting products, meeting reports)"
QID36_1,TR-4_1 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - The team shares my goals for this project
QID36_2,TR-4_2 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - The team's values align with my own
QID36_3,TR-4_3 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - The team understands the local culture and values of the community
QID36_4,TR-4_4 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - The team shares the power to make decisions with the stakeholders in this process
QID36_5,TR-4_5 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - Different stakeholder groups have equal importance in this process
QID36_6,TR-4_6 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - The team treats stakeholder groups with impartiality
QID36_8,TR-4_7 - Please indicate the extent to which you agree or disagree with the following statements about the UF project team: - The team is adaptable and capable of handling unforeseen issues adequately
QID38,"TR-5 - In general, how well do you think the scientific community in general does in engaging with local communities?"
QID40,TR-6 - How well do you think this project has done in engaging with the local community?
QID26,F-1 - Would you be interested in giving (further) input for the project?
QID28_1,F-2_1 - What would be your preferred method of giving us feedback and input? (check all that apply) - Participate in meetings to aid the development of the dashboard
QID28_2,F-2_2 - What would be your preferred method of giving us feedback and input? (check all that apply) - Participate in additional online surveys related to the development of the dashboard
QID28_3,F-2_3 - What would be your preferred method of giving us feedback and input? (check all that apply) - Participate in testing and evaluating the dashboard
QID29,"F-3 - Although you do not want to give further input on the project, would you like to receive email updates?"
QID30_TEXT,F-4 - What is your email address?
QID12_TEXT,"DE-1 - What is your primary occupation (if retired, what was your primary occupation)?"
QID13,DE-2 - What is your age?
QID14,DE-3 - What gender do you identify with?
QID15,DE-4 - What is the driving time from your primary residence to the GTMNERR Visitor Center (505 Guana River Rd) on average?
QID16_6,"YD-1_6 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Information on fish, shellfish or other aquatic organisms"
QID16_7,"YD-1_7 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Information on terrestrial animals"
QID16_5,"YD-1_5 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Information on vegetation (salt marsh or uplands)"
QID16_4,"YD-1_4 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Reserve or trail closures"
QID16_3,"YD-1_3 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Water level information (tides, Guana lake, river)"
QID16_2,"YD-1_2 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Water quality information (including nutrients and algae)"
QID16_1,"YD-1_1 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Weather information"
QID16_8,"YD-1_8 - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Selected Choice - Other (please specify)"
QID16_8_TEXT,"YD-1_8_TEXT - What Guana Estuary data do you currently use, or have you used in the past? (check all that apply) - Other (please specify) - Text"
1_QID17,1_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Weather information - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice
1_QID17_2_TEXT,"1_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Weather information - Download from website (If so, what website?) - Text"
1_QID17_4_TEXT,1_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Weather information - Other (please specify) - Text
1_QID18_1,1_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access
1_QID18_2,1_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request
1_QID18_3,1_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick
1_QID18_4,1_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful
1_QID18_6,1_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages
1_QID18_5,1_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
1_QID18_5_TEXT,1_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - Other (please specify) - Text
1_QID19_1,1_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access
1_QID19_2,1_YD-4_2 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Slow to receive
1_QID19_3,1_YD-4_3 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Time consuming to request
1_QID19_4,1_YD-4_4 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is not user-friendly
1_QID19_6,1_YD-4_6 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no disadvantages
1_QID19_5,1_YD-4_5 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
1_QID19_5_TEXT,1_YD-4_5_TEXT - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Weather information - Other (please specify) - Text
1_QID20,1_YD-5 - Weather information - How often do/did you access or obtain Guana Estuary data on [Field-1]?
1_QID21_1,1_YD-6_1 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Research
1_QID21_2,1_YD-6_2 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Educational purposes
1_QID21_3,1_YD-6_3 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)
1_QID21_4,1_YD-6_4 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Decision making (for recreational/educational/scientific visits)
1_QID21_5,1_YD-6_5 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Monitoring
1_QID21_6,1_YD-6_6 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Other (please specify)
1_QID21_6_TEXT,1_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Weather information - Other (please specify) - Text
1_QID22,1_YD-7 - Weather information - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
2_QID17,2_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water quality information (including nutrients and algae) - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice
2_QID17_2_TEXT,"2_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water quality information (including nutrients and algae) - Download from website (If so, what website?) - Text"
2_QID17_4_TEXT,2_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID18_1,2_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access
2_QID18_2,2_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request
2_QID18_3,2_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick
2_QID18_4,2_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful
2_QID18_6,2_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages
2_QID18_5,2_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
2_QID18_5_TEXT,2_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID19_1,2_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access
2_QID19_2,2_YD-4_2 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Slow to receive
2_QID19_3,2_YD-4_3 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Time consuming to request
2_QID19_4,2_YD-4_4 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is not user-friendly
2_QID19_6,2_YD-4_6 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no disadvantages
2_QID19_5,2_YD-4_5 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
2_QID19_5_TEXT,2_YD-4_5_TEXT - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID20,2_YD-5 - Water quality information (including nutrients and algae) - How often do/did you access or obtain Guana Estuary data on [Field-1]?
2_QID21_1,2_YD-6_1 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Research
2_QID21_2,2_YD-6_2 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Educational purposes
2_QID21_3,2_YD-6_3 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)
2_QID21_4,2_YD-6_4 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Decision making (for recreational/educational/scientific visits)
2_QID21_5,2_YD-6_5 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Monitoring
2_QID21_6,2_YD-6_6 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Other (please specify)
2_QID21_6_TEXT,2_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Water quality information (including nutrients and algae) - Other (please specify) - Text
2_QID22,2_YD-7 - Water quality information (including nutrients and algae) - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
3_QID17,"3_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water level information (tides, Guana lake, river) - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice"
3_QID17_2_TEXT,"3_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water level information (tides, Guana lake, river) - Download from website (If so, what website?) - Text"
3_QID17_4_TEXT,"3_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Water level information (tides, Guana lake, river) - Other (please specify) - Text"
3_QID18_1,"3_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access"
3_QID18_2,"3_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request"
3_QID18_3,"3_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick"
3_QID18_4,"3_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful"
3_QID18_6,"3_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages"
3_QID18_5,"3_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Water level information (tides, Guana lake, river) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)"
