ImportId,qname,qname_main,main,field_no,field_name,q_text,q_code,option1,q_type,q_selector
QID6,D-1_2,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,"Educational (I use the Guana Estuary for educational workshops, field trips, classroom activities, etc.)",2,NA,MC,MAVR
QID6,D-1_3,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,Scientific (I collect/use data about the Guana Estuary),3,NA,MC,MAVR
QID6,D-1_6,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,Work-related (Not research or education),6,NA,MC,MAVR
QID6,D-1_4,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,GTMNERR volunteer,4,NA,MC,MAVR
QID6,D-1_7,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,"“Friends of GTM"" member",7,NA,MC,MAVR
QID6,D-1_5,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,Other (please specify):,5,NA,MC,MAVR
QID6,D-1_5_TEXT,D-1,How are you connected to the Guana Estuary? (check all that apply),NA,NA,Other (please specify):,5,TEXT,MC,MAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,Daily,1,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,At least once a week,2,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,2-3 times a month,3,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,Once a month,4,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,Once every 6 months,5,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,Once every year,6,NA,MC,SAVR
QID7,D-2,D-2,"How often do you engage with the Guana Estuary, on average?",NA,NA,Less than once a year,7,NA,MC,SAVR
QID8,D-3_1,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Weather information,1,NA,RO,VR
QID8,D-3_2,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Water quality information (including nutrients and algae),2,NA,RO,VR
QID8,D-3_3,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,"Water level information (tides, Guana lake, river)",3,NA,RO,VR
QID8,D-3_4,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Reserve or trail closures,4,NA,RO,VR
QID8,D-3_5,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Information on vegetation (salt marsh or uplands),5,NA,RO,VR
QID8,D-3_6,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,"Information on fish, shellfish or other aquatic organisms",6,NA,RO,VR
QID8,D-3_7,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Information on terrestrial animals,7,NA,RO,VR
QID8,D-3_8,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,None,8,NA,RO,VR
QID8,D-3_9,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Other (please specify),9,NA,RO,VR
QID8,D-3_9_TEXT,D-3,"Regardless of whether you can currently access data, what kind of information would or are you generally interested in from the area?



Pick only those that apply, and please rank your selection in order of interest: 1 = most interested in.",NA,NA,Other (please specify),9,TEXT,RO,VR
QID9,D-4,D-4,"Have you ever accessed data* about the Guana Estuary?



*by ""data"", we mean ""information, especially facts or numbers, collected to be examined and considered and used to help decision-making; or information in an electronic form that can be stored and used by a computer"" for instance spreadsheets, databases, graphs, and maps.",NA,NA,Yes,1,NA,MC,SAVR
QID9,D-4,D-4,"Have you ever accessed data* about the Guana Estuary?



*by ""data"", we mean ""information, especially facts or numbers, collected to be examined and considered and used to help decision-making; or information in an electronic form that can be stored and used by a computer"" for instance spreadsheets, databases, graphs, and maps.",NA,NA,No,2,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,Daily,1,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,At least once a week,2,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,2-3 times a month,3,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,Once a month,4,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,Once every 6 months,5,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,Once every year,6,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,Less than once a year,7,NA,MC,SAVR
QID10,ND-1,ND-1,"If you had the opportunity to access data in the future, how often would you access or obtain these data?",NA,NA,Never (not interested in accessing data),8,NA,MC,SAVR
QID11,ND-2_1,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Research,1,NA,MC,MAVR
QID11,ND-2_2,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Educational purposes,2,NA,MC,MAVR
QID11,ND-2_3,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Work-related purposes (not research or education),3,NA,MC,MAVR
QID11,ND-2_4,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Decision making (recreational/educational/scientific visits),4,NA,MC,MAVR
QID11,ND-2_5,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Monitoring,5,NA,MC,MAVR
QID11,ND-2_6,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,No specific use: curiosity,6,NA,MC,MAVR
QID11,ND-2_7,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Other (please specify),7,NA,MC,MAVR
QID11,ND-2_7_TEXT,ND-2,"If you had the opportunity to access data in the future, what would you use these data for? (check all that apply)",NA,NA,Other (please specify),7,TEXT,MC,MAVR
QID23,T-1_1,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",NA,NA,Computer,1,NA,MC,MAVR
QID23,T-1_2,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",NA,NA,Mobile phone,2,NA,MC,MAVR
QID23,T-1_3,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",NA,NA,Tablet,3,NA,MC,MAVR
QID23,T-1_4,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",NA,NA,Other (please specify),4,NA,MC,MAVR
QID23,T-1_4_TEXT,T-1,"Once this dashboard has been developed, how would you prefer to access it? (check all that apply)",NA,NA,Other (please specify),4,TEXT,MC,MAVR
QID25,T-2_1,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Historical data (older than 1 year),1,NA,RO,VR
QID25,T-2_2,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Recent data (within the last year),2,NA,RO,VR
QID25,T-2_3,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Current data (within the last month),3,NA,RO,VR
QID25,T-2_4,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Current conditions (today),4,NA,RO,VR
QID25,T-2_7,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Not sure,7,NA,RO,VR
QID25,T-2_8,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Other (please specify),8,NA,RO,VR
QID25,T-2_8_TEXT,T-2,"What type of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Other (please specify),8,TEXT,RO,VR
QID49,T-3_5,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,"Non-aggregated data (meaning: ""raw"" data, no summaries)",5,NA,RO,VR
QID49,T-3_6,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,"Aggregated data, summarized for time periods",6,NA,RO,VR
QID49,T-3_9,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,"Aggregated data, summarized for locations",9,NA,RO,VR
QID49,T-3_7,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Not sure,7,NA,RO,VR
QID49,T-3_8,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Other (please specify),8,NA,RO,VR
QID49,T-3_8_TEXT,T-3,"What form of information would you want to see on the dashboard? 

Pick all those that apply, and please rank your selection in order of interest: 1 = would want to see most.",NA,NA,Other (please specify),8,TEXT,RO,VR
QID24,T-4_1,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,"Data downloads (for instance text or comma-delimited files, spreadsheets)",1,NA,RO,VR
QID24,T-4_2,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,Tables online,2,NA,RO,VR
QID24,T-4_3,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,Figures or plots,3,NA,RO,VR
QID24,T-4_4,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,Maps,4,NA,RO,VR
QID24,T-4_5,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,Not sure,5,NA,RO,VR
QID24,T-4_6,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,Other (please specify),6,NA,RO,VR
QID24,T-4_6_TEXT,T-4,"What format of data delivery would suit your needs best? 

Pick all those that apply, and please rank your selection: 1 = would suit my needs best.",NA,NA,Other (please specify),6,TEXT,RO,VR
QID48,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",NA,NA,Yes,1,NA,MC,SAVR
QID48,TR-0,TR-0,"Are you part of the stakeholder group that was invited to participate in the project kick-off meetings in November and December 2022 (If you are unsure, click ""No"". If you were invited but could not make it, click ""Yes"").",NA,NA,No,2,NA,MC,SAVR
QID33,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,NA,NA,Not at all,1,NA,MC,SAVR
QID33,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,NA,NA,Not very much,2,NA,MC,SAVR
QID33,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,NA,NA,Somewhat,3,NA,MC,SAVR
QID33,TR-1,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,NA,NA,Very much,4,NA,MC,SAVR
QID34,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,NA,NA,Not at all capable,1,NA,MC,SAVR
QID34,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,NA,NA,Not very capable,2,NA,MC,SAVR
QID34,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,NA,NA,Somewhat capable,3,NA,MC,SAVR
QID34,TR-2,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,NA,NA,Very capable,4,NA,MC,SAVR
QID35,TR-3_1,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely dissatisfied,9,NA,Matrix,Likert
QID35,TR-3_1,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat dissatisfied,10,NA,Matrix,Likert
QID35,TR-3_1,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Neither satisfied nor dissatisfied,11,NA,Matrix,Likert
QID35,TR-3_1,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat satisfied,12,NA,Matrix,Likert
QID35,TR-3_1,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely satisfied,13,NA,Matrix,Likert
QID35,TR-3_2,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely dissatisfied,9,NA,Matrix,Likert
QID35,TR-3_2,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat dissatisfied,10,NA,Matrix,Likert
QID35,TR-3_2,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Neither satisfied nor dissatisfied,11,NA,Matrix,Likert
QID35,TR-3_2,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat satisfied,12,NA,Matrix,Likert
QID35,TR-3_2,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely satisfied,13,NA,Matrix,Likert
QID35,TR-3_3,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely dissatisfied,9,NA,Matrix,Likert
QID35,TR-3_3,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat dissatisfied,10,NA,Matrix,Likert
QID35,TR-3_3,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Neither satisfied nor dissatisfied,11,NA,Matrix,Likert
QID35,TR-3_3,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat satisfied,12,NA,Matrix,Likert
QID35,TR-3_3,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely satisfied,13,NA,Matrix,Likert
QID35,TR-3_4,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely dissatisfied,9,NA,Matrix,Likert
QID35,TR-3_4,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat dissatisfied,10,NA,Matrix,Likert
QID35,TR-3_4,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Neither satisfied nor dissatisfied,11,NA,Matrix,Likert
QID35,TR-3_4,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat satisfied,12,NA,Matrix,Likert
QID35,TR-3_4,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely satisfied,13,NA,Matrix,Likert
QID35,TR-3_5,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely dissatisfied,9,NA,Matrix,Likert
QID35,TR-3_5,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat dissatisfied,10,NA,Matrix,Likert
QID35,TR-3_5,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Neither satisfied nor dissatisfied,11,NA,Matrix,Likert
QID35,TR-3_5,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Somewhat satisfied,12,NA,Matrix,Likert
QID35,TR-3_5,TR-3,"To date, please indicate your level of satisfaction with:",NA,NA,Extremely satisfied,13,NA,Matrix,Likert
QID36,TR-4_1,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_1,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_1,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_1,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_1,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID36,TR-4_2,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_2,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_2,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_2,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_2,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID36,TR-4_3,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_3,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_3,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_3,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_3,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID36,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_4,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID36,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_5,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID36,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_6,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID36,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly disagree,4,NA,Matrix,Likert
QID36,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat disagree,5,NA,Matrix,Likert
QID36,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Neither agree nor disagree,6,NA,Matrix,Likert
QID36,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Somewhat agree,7,NA,Matrix,Likert
QID36,TR-4_7,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,NA,NA,Strongly agree,8,NA,Matrix,Likert
QID38,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",NA,NA,Terribly,9,NA,MC,SAVR
QID38,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",NA,NA,Poorly,10,NA,MC,SAVR
QID38,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",NA,NA,Average,11,NA,MC,SAVR
QID38,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",NA,NA,Well,12,NA,MC,SAVR
QID38,TR-5,TR-5,"In general, how well do you think the scientific community in general does in engaging with local communities?",NA,NA,Very well,13,NA,MC,SAVR
QID40,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,NA,NA,Terribly,9,NA,MC,SAVR
QID40,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,NA,NA,Poorly,10,NA,MC,SAVR
QID40,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,NA,NA,Average,11,NA,MC,SAVR
QID40,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,NA,NA,Well,12,NA,MC,SAVR
QID40,TR-6,TR-6,How well do you think this project has done in engaging with the local community?,NA,NA,Very well,13,NA,MC,SAVR
QID26,F-1,F-1,Would you be interested in giving (further) input for the project?,NA,NA,Yes,1,NA,MC,SAVR
QID26,F-1,F-1,Would you be interested in giving (further) input for the project?,NA,NA,Maybe,2,NA,MC,SAVR
QID26,F-1,F-1,Would you be interested in giving (further) input for the project?,NA,NA,No,3,NA,MC,SAVR
QID28,F-2_1,F-2,What would be your preferred method of giving us feedback and input? (check all that apply),NA,NA,Participate in meetings to aid the development of the dashboard,1,NA,MC,MAVR
QID28,F-2_2,F-2,What would be your preferred method of giving us feedback and input? (check all that apply),NA,NA,Participate in additional online surveys related to the development of the dashboard,2,NA,MC,MAVR
QID28,F-2_3,F-2,What would be your preferred method of giving us feedback and input? (check all that apply),NA,NA,Participate in testing and evaluating the dashboard,3,NA,MC,MAVR
QID29,F-3,F-3,"Although you do not want to give further input on the project, would you like to receive email updates?",NA,NA,Yes,1,NA,MC,SAVR
QID29,F-3,F-3,"Although you do not want to give further input on the project, would you like to receive email updates?",NA,NA,No,2,NA,MC,SAVR
QID30,F-4,F-4,What is your email address?,NA,NA,NA,NA,NA,NA,NA
QID12,DE-1,DE-1,"What is your primary occupation (if retired, what was your primary occupation)?",NA,NA,NA,NA,NA,NA,NA
QID13,DE-2,DE-2,What is your age?,NA,NA,Under 18,1,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,18 - 24,2,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,25 - 34,3,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,35 - 44,4,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,45 - 54,5,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,55 - 64,6,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,65 or over,7,NA,MC,SAVR
QID13,DE-2,DE-2,What is your age?,NA,NA,Prefer not to answer,8,NA,MC,SAVR
QID14,DE-3,DE-3,What gender do you identify with?,NA,NA,Female,1,NA,MC,SAVR
QID14,DE-3,DE-3,What gender do you identify with?,NA,NA,Male,2,NA,MC,SAVR
QID14,DE-3,DE-3,What gender do you identify with?,NA,NA,Non-binary / other,3,NA,MC,SAVR
QID14,DE-3,DE-3,What gender do you identify with?,NA,NA,Prefer not to answer,4,NA,MC,SAVR
QID15,DE-4,DE-4,What is the driving time from your primary residence to the GTMNERR Visitor Center (505 Guana River Rd) on average?,NA,NA,10 minutes or less,1,NA,MC,SAVR
QID15,DE-4,DE-4,What is the driving time from your primary residence to the GTMNERR Visitor Center (505 Guana River Rd) on average?,NA,NA,11 - 30 minutes,2,NA,MC,SAVR
QID15,DE-4,DE-4,What is the driving time from your primary residence to the GTMNERR Visitor Center (505 Guana River Rd) on average?,NA,NA,31 – 60 minutes,3,NA,MC,SAVR
QID15,DE-4,DE-4,What is the driving time from your primary residence to the GTMNERR Visitor Center (505 Guana River Rd) on average?,NA,NA,Greater than 60 minutes,4,NA,MC,SAVR
