qid,qname,question,force_resp
QID33,TR-1,How much do you trust the UF project team to build a dashboard that meets your needs?,FALSE
QID34,TR-2,To what extent do you believe that the abilities and technical expertise of the UF project team make them capable of building a dashboard that meets your needs?,FALSE
QID35,TR-3,"To date, please indicate your level of satisfaction with:",FALSE
QID36,TR-4,Please indicate the extent to which you agree or disagree with the following statements about the UF project team:,FALSE
QID38,TR-5,"In general, how well do you think the scientific community <u>in general</u> does in engaging with local communities?",FALSE
QID40,TR-6,How well do you think <u>this project</u> has done in engaging with the local community?,FALSE
QID42,FURTHER INPUT,"<br>We would like to know if you are interested in staying involved in this project, and if so, how.",FALSE
QID26,F-1,Would you be interested in giving (further) input for the project?,TRUE
QID28,F-2,What would be your preferred method of giving us feedback and input? (check all that apply),FALSE
QID29,F-3,"Although you do not want to give further input on the project, would you like to receive email updates?",FALSE
QID30,F-4,What is your email address?,TRUE
QID41,DEMOGRAPHICS,"<br>These last few questions are about you, to give us an idea of the demographics of interested parties.",FALSE
QID12,DE-1,"What is your primary occupation (if retired, what was your primary occupation)?",FALSE
QID13,DE-2,What is your age?,TRUE
QID14,DE-3,What gender do you identify with?,TRUE
QID15,DE-4,What is the driving time from your primary residence to the GTMNERR Visitor Center (505 Guana River Rd) on average?,TRUE
QID16,YD-1,"What Guana Estuary data do you currently use, or have you used in the past? (check all that apply)",TRUE
QID17,YD-2,How do you <strong>most frequently</strong> obtain or access Guana Estuary data on <u><strong>${lm://Field/1}</strong></u>?,TRUE
QID18,YD-3,What are the advantages of this primary method of accessing or obtaining Guana Estuary data on <u><strong>${lm://Field/1}</strong></u>? (check all that apply),TRUE
QID19,YD-4,What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on <u><strong>${lm://Field/1}</strong></u>? (check all that apply),TRUE
QID20,YD-5,How often do/did you access or obtain Guana Estuary data on <u><strong>${lm://Field/1}</strong></u>?,TRUE
QID21,YD-6,What do you typically use Guana Estuary data on <u><strong>${lm://Field/1}</strong></u> for? (check all that apply),TRUE
QID22,YD-7,How well do Guana Estuary data on <u><strong>${lm://Field/1}</strong></u> generally satisfy your need(s)?,TRUE
